sellerRating,OpenDayValue,Duration,EndDayValue, ClosePrice, OpenPrice,Competitive,USDClosePrice,USDOpenPrice,DollarOpen
158,7,5,5,1.23,1.23,0,1.4,1.4,1
1550,5,7,5,1.23,1.23,0,1.4,1.4,1
1550,5,7,5,1.23,1.23,0,1.4,1.4,1
1550,5,7,5,1.23,1.23,0,1.4,1.4,1
1550,5,7,5,1.23,1.23,0,1.4,1.4,1
945,5,7,5,1.49,1.49,0,1.49,1.49,1
1553,2,10,5,2.46,1.83,1,2.8,2.09,1
18,2,10,5,2.45,2.45,0,2.79,2.79,1
18,2,10,5,2.45,2.45,0,2.79,2.79,1
18,2,10,5,2.45,2.45,1,2.79,2.79,1
2507,2,10,5,2.45,2.45,0,2.79,2.79,1
2507,2,10,5,2.45,2.45,0,2.79,2.79,1
52,5,7,5,2,2,0,2,2,1
4390,5,7,5,2,2,0,2,2,1
3613,5,7,5,2.99,2.99,0,2.99,2.99,1
4390,5,7,5,2.99,2.99,1,2.99,2.99,1
618,5,7,5,3.69,3.69,0,4.21,4.21,1
4390,5,7,5,3.27,3.27,0,3.27,3.27,1
945,5,7,5,3.49,3.49,0,3.49,3.49,1
2349,2,10,5,20.5,0.6,1,20.5,0.6,3
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,0,3.6,3.6,1
2349,5,7,5,3.6,3.6,1,3.6,3.6,1
